fid,id,boron,calcium,clay,copper,fineSand,humus,potassium,magnesium,phosphorus,rt,sand,totalN,zinc,silt,jb,coarseSand,altitude,sulfur,iron,manganese,molybdenum,sodium,ph,fiSoil,NDRE0517_b1_count,NDRE0517_b1_mean,NDRE0517_b1_stdev,NDVI_b1_count,NDVI_b1_mean,NDVI_b1_stdev,T_2021,T_2022,PLOT_ID,n,distance,feature_x,feature_y,nearest_x,nearest_y
"1525",,4.669037,0,13.872747,1.834129,40.401054,2.743523,13.623299,5.856176,2.210702,6.395343,74.628357,0,0,8.75537,"6",34.227306,23.727556,,,,,,5.895343,"0",15954,0.441033380176843,0.0391492586394875,15954,0.794519352856115,0.060508523556489,Mineral,OG2,9-c,"1",0,12.2912333936485,55.6731793153199,12.2912333936485,55.6731793153199
"1526",,4.195082,0,14.254412,1.735881,42.543343,2.275104,16.819994,5.96518,3.103896,6.291577,73.309425,0,0,10.161063,"6",30.766079,25.030437,,,,,,5.791577,"0",15955,0.623721950568214,0.0299918245282175,15955,0.921286468261538,0.0254870856304707,Control,Mineral,9-a,"1",0,12.2912585746208,55.6736203362146,12.2912585746208,55.6736203362146
"1526",,4.195082,0,14.254412,1.735881,42.543343,2.275104,16.819994,5.96518,3.103896,6.291577,73.309425,0,0,10.161063,"6",30.766079,25.030437,,,,,,5.791577,"0",15955,0.623721950568214,0.0299918245282175,15955,0.921286468261538,0.0254870856304707,Control,Mineral,10-a,"2",0,12.2912982753262,55.6736230810845,12.2912982753262,55.6736230810845
"1527",,4.676708,0,13.849751,1.835719,40.271976,2.751105,13.381988,5.857604,2.156886,6.403176,74.707825,0,0,8.691316,"6",34.435852,23.678246,,,,,,5.903176,"0",15955,0.423943620849201,0.0398737633045029,15954,0.772393102435984,0.0653257509878195,Mineral,OG2,9-c,"1",0,12.2912355655734,55.6731479014997,12.2912355655734,55.6731479014997
"1528",,4.181272,0,14.244503,1.733019,42.487724,2.261454,16.780037,5.960754,3.080706,6.292874,73.343666,0,0,10.150378,"6",30.85594,24.896328,,,,,,5.792874,"0",15955,0.638693902403611,0.0263989546927749,15954,0.931751608785059,0.0190965547677803,Control,Mineral,9-a,"1",0,12.2912607465614,55.673588922396,12.2912607465614,55.673588922396
"1528",,4.181272,0,14.244503,1.733019,42.487724,2.261454,16.780037,5.960754,3.080706,6.292874,73.343666,0,0,10.150378,"6",30.85594,24.896328,,,,,,5.792874,"0",15955,0.638693902403611,0.0263989546927749,15954,0.931751608785059,0.0190965547677803,Control,Mineral,10-a,"2",0,12.2913111094327,55.6735924044313,12.2913111094327,55.6735924044313
"1529",,4.692539,0,13.837734,1.839,40.204521,2.76675,13.18945,5.846124,2.128761,6.409426,74.749359,0,0,8.646158,"6",34.544838,23.650244,,,,,,5.909426,"0",15957,0.378575690891417,0.0338198680959301,15957,0.730586268799178,0.0727702981243444,Mineral,OG2,9-c,"1",0,12.291237737494,55.6731164876793,12.291237737494,55.6731164876793
"1530",,4.220322,0,14.232882,1.741114,42.422497,2.300049,16.617729,5.947822,3.05351,6.298143,73.383827,0,0,10.083245,"6",30.961329,24.774242,,,,,,5.798143,"0",15956,0.633798491612252,0.0310493458436697,15956,0.926507419543507,0.0252332337783675,Control,Mineral,9-a,"1",0,12.2912629184976,55.6735575085773,12.2912629184976,55.6735575085773
"1535",,4.806268,0,13.829046,1.862575,40.155758,2.879151,12.676277,5.8796,2.108431,6.426084,74.779381,0,0,8.512424,"6",34.623619,23.669474,,,,,,5.926084,"0",15956,0.402843549619734,0.0403926847220793,15956,0.762172500074552,0.0687788638667066,Mineral,Control,9-d,"1",0,12.2912442532301,55.6730222462169,12.2912442532301,55.6730222462169
"1536",,4.409517,0,14.181652,1.780332,42.134945,2.487034,15.982405,5.888776,2.93362,6.318766,73.56086,0,0,9.770453,"6",31.425917,24.456692,,,,,,5.818766,"0",15953,0.591179655161366,0.0342464822945739,15953,0.910557248114434,0.026725348779353,OG2,OG2_residual,9-b,"1",0,12.2912694342807,55.6734632671196,12.2912694342807,55.6734632671196
