PLOT_ID,T_2021,T_2022,date,count,mean,std,cv
4-b,OG2 2021,OG2 andet 2022,20220412,450112,0.288647194279941,0.0387314479897604,0.13418265882119462
4-b,OG2 2021,OG2 andet 2022,20220517,459641,0.597160430155875,0.0347203670239671,0.05814244425891405
4-b,OG2 2021,OG2 andet 2022,20220529,459741,0.58329879258203,0.03808174821179,0.06528686274699347
4-b,OG2 2021,OG2 andet 2022,20220624,468179,0.469558627762531,0.0357967575282716,0.0762349053170311
9-b,OG2 2021,OG2 andet 2022,20220412,450116,0.300915295343162,0.0399729330478096,0.13283782402029348
9-b,OG2 2021,OG2 andet 2022,20220517,459643,0.606068737739484,0.0323836869541354,0.05343236655782662
9-b,OG2 2021,OG2 andet 2022,20220529,459743,0.591180055410191,0.038588132894898,0.06527306282030028
9-b,OG2 2021,OG2 andet 2022,20220624,468177,0.47724164525776003,0.0385821214833647,0.08084399562935533
10-b,OG2 2021,OG2 andet 2022,20220412,450115,0.306134113485463,0.0428883881299332,0.14009672963797218
10-b,OG2 2021,OG2 andet 2022,20220517,459641,0.614856348871713,0.0326856995458231,0.053159895975381434
10-b,OG2 2021,OG2 andet 2022,20220529,459745,0.605239313303803,0.0386372729991844,0.06383800944501804
10-b,OG2 2021,OG2 andet 2022,20220624,468180,0.492285640177193,0.0391556139363252,0.07953840360289922
1-b,OG2 2021,OG2 andet 2022,20220412,450110,0.296921239199072,0.0380254980567528,0.12806594152484477
1-b,OG2 2021,OG2 andet 2022,20220517,459640,0.597569321717549,0.0433803127396929,0.0725946114753818
1-b,OG2 2021,OG2 andet 2022,20220529,459741,0.582357209237675,0.0527855542455691,0.09064119651694044
1-b,OG2 2021,OG2 andet 2022,20220624,468179,0.483553978724902,0.0471406653158351,0.09748790701741661
8-b,OG2 2021,OG2 andet 2022,20220412,450114,0.304638912623934,0.0375678906584814,0.1233194089845562
8-b,OG2 2021,OG2 andet 2022,20220517,459645,0.609761187262733,0.032607850367971,0.05347642822979643
8-b,OG2 2021,OG2 andet 2022,20220529,459746,0.593388421476033,0.0384424011747121,0.0647845488442258
8-b,OG2 2021,OG2 andet 2022,20220624,468181,0.482285187922721,0.0378796256203029,0.07854196348732266
6-b,OG2 2021,OG2 andet 2022,20220412,450111,0.251428741783204,0.0352047088624113,0.14001863356086305
6-b,OG2 2021,OG2 andet 2022,20220517,459641,0.559730469470143,0.0411638498871466,0.07354227102575546
6-b,OG2 2021,OG2 andet 2022,20220529,459747,0.533640391149662,0.0431765877531644,0.08090951972384587
6-b,OG2 2021,OG2 andet 2022,20220624,468179,0.420073405134349,0.0370925503652307,0.08830016352348624
2-b,OG2 2021,OG2 andet 2022,20220412,450110,0.293502823108671,0.0388981630895363,0.13253079707221097
