"Treatment_2021","Treatment_2022","PLOT_ID","YEAR","Block_a","Block_b","Treatment order","Order original","unique id","country","plot_number","Anthesis 23-06-2021 Biomass dryweight (kg/ha)","Harvest 06-08-2021 harvestable (grain) yield 15 % moisture (kg/ha)","16-11-2021 Biomass dryweight (kg/ha)","Anthesis 31-05-2022 Biomass dryweight (kg/ha)","Harvest 11-08-2022 harvestable (grain) yield 15 % moisture (kg/ha)","Field sheet order"
"OG2","OG2_residual","2-b",NA,"OG2 2021","OG2 andet 2022",19,1,25,"denmark","25-25",NA,7627.88386,NA,NA,7267.710129,NA
"OG2","OG2_residual","1-b",NA,"OG2 2021","OG2 andet 2022",20,139,22,"denmark","25-22",NA,7393.578787,NA,NA,8924.994896,NA
"MIN","OG2","10-c",NA,"Mineral N 2021","OG2 2022",21,63,3,"denmark","25-3",NA,8178.184763,NA,NA,7577.339196,NA
"MIN","OG2","9-c",NA,"Mineral N 2021","OG2 2022",22,86,32,"denmark","25-32",NA,8186.85581,NA,NA,8078.203221,NA
"MIN","OG2","8-c",NA,"Mineral N 2021","OG2 2022",23,43,28,"denmark","25-28",NA,8314.729529,NA,NA,7282.609516,NA
"MIN","OG2","7-c",NA,"Mineral N 2021","OG2 2022",24,91,29,"denmark","25-29",NA,7640.91613,NA,NA,7866.591689,NA
"MIN","OG2","6-c",NA,"Mineral N 2021","OG2 2022",25,143,33,"denmark","25-33",NA,7328.972979,NA,NA,6720.222725,NA
"MIN","OG2","5-c",NA,"Mineral N 2021","OG2 2022",26,125,36,"denmark","25-36",NA,8147.664345,NA,NA,5937.744473,NA
"MIN","OG2","4-c",NA,"Mineral N 2021","OG2 2022",27,123,35,"denmark","25-35",NA,8239.447633,NA,NA,6486.365166,NA
"MIN","OG2","3-c",NA,"Mineral N 2021","OG2 2022",28,90,31,"denmark","25-31",NA,8164.174178,NA,NA,7757.297837,NA
"MIN","OG2","2-c",NA,"Mineral N 2021","OG2 2022",29,150,34,"denmark","25-34",NA,7955.007152,NA,NA,6815.007548,NA
"MIN","OG2","1-c",NA,"Mineral N 2021","OG2 2022",30,56,30,"denmark","25-30",NA,7127.123049,NA,NA,7836.879709,NA
"MIN","CON","10-d",NA,"Mineral N 2021","Kontrol 2022",31,61,9,"denmark","25-9",NA,8515.967421,NA,NA,5429.707342,NA
"MIN","CON","9-d",NA,"Mineral N 2021","Kontrol 2022",32,22,40,"denmark","25-40",NA,7724.042943,NA,NA,4892.079415,NA
"MIN","CON","8-d",NA,"Mineral N 2021","Kontrol 2022",33,65,5,"denmark","25-5",NA,6015.9944,NA,NA,3694.280585,NA
"MIN","CON","7-d",NA,"Mineral N 2021","Kontrol 2022",34,7,7,"denmark","25-7",NA,6353.717476,NA,NA,4914.990194,NA
"MIN","CON","6-d",NA,"Mineral N 2021","Kontrol 2022",35,53,38,"denmark","25-38",NA,7388.092225,NA,NA,4831.883004,NA
"MIN","CON","5-d",NA,"Mineral N 2021","Kontrol 2022",36,75,6,"denmark","25-6",NA,7533.026887,NA,NA,3345.674765,NA
"MIN","CON","4-d",NA,"Mineral N 2021","Kontrol 2022",37,104,39,"denmark","25-39",NA,6617.49475,NA,NA,3192.727866,NA
"MIN","CON","3-d",NA,"Mineral N 2021","Kontrol 2022",38,130,4,"denmark","25-4",NA,6657.748123,NA,NA,4296.081466,NA
"MIN","CON","2-d",NA,"Mineral N 2021","Kontrol 2022",39,72,37,"denmark","25-37",NA,8140.264713,NA,NA,4186.114722,NA
"MIN","CON","1-d",NA,"Mineral N 2021","Kontrol 2022",40,23,8,"denmark","25-8",NA,7965.740335,NA,NA,5823.130175,NA
