"PLOT_ID","Block_a","Block_b","Treatment_ID","Treatment_2021","Treatment_2022","year_estab","date","count","mean","std","cv","fertiliser_type"
"11g-13","8a","7b",13,"REF_3","REF_3",2022,20220517,75998,0.514501207465231,0.065908448287802,0.128101639668661,"mineral"
"11g-13","8a","7b",13,"REF_3","REF_3",2022,20220529,72317,0.522115912926626,0.0631907519576734,0.121028205410307,"mineral"
"11g-13","8a","7b",13,"REF_3","REF_3",2022,20220624,76140,0.40968314936844,0.0600918820293157,0.146678920336246,"mineral"
"4g-8","7a","7b",8,"SDG","SDG",2022,20220412,74141,0.201893338489488,0.0280357586935125,0.138864208711731,"bbf"
"4g-8","7a","7b",8,"SDG","SDG",2022,20220517,75998,0.475771746435223,0.0547003270300662,0.114971785188833,"bbf"
"4g-8","7a","7b",8,"SDG","SDG",2022,20220529,72320,0.451643222808813,0.0585147506321613,0.129559678252786,"bbf"
"4g-8","7a","7b",8,"SDG","SDG",2022,20220624,76141,0.32897748400313,0.0494684278208479,0.150370253972692,"bbf"
"6g-11","7a","7b",11,"REF_1","REF_1",2022,20220412,74138,0.197458247433576,0.030119094466341,0.152533990642619,"control"
"6g-11","7a","7b",11,"REF_1","REF_1",2022,20220517,75999,0.282942326990621,0.032766960130781,0.115807912090393,"control"
"6g-11","7a","7b",11,"REF_1","REF_1",2022,20220529,72321,0.249398788710897,0.0288157848898256,0.115540997768152,"control"
"6g-11","7a","7b",11,"REF_1","REF_1",2022,20220624,76138,0.1966394899853,0.0235905604868235,0.119968580515476,"control"
"3g-9","7a","7b",9,"BVC","BVC",2022,20220412,74138,0.244628246716642,0.0313304616689617,0.128073769441893,"bbf"
"3g-9","7a","7b",9,"BVC","BVC",2022,20220517,75995,0.35228262703543,0.0384350247018769,0.109102810505644,"bbf"
"3g-9","7a","7b",9,"BVC","BVC",2022,20220529,72319,0.296530037626115,0.0314222109260656,0.105966367446676,"bbf"
"3g-9","7a","7b",9,"BVC","BVC",2022,20220624,76140,0.234850163310218,0.030612962594455,0.13035103813838,"bbf"
"8g-1","8a","7b",1,"BA6","BA6",2022,20220412,74141,0.215498390163273,0.0289742340585504,0.1344522065181,"bbf"
"8g-1","8a","7b",1,"BA6","BA6",2022,20220517,75997,0.347575683241175,0.0383594410486532,0.11036284440542,"bbf"
"8g-1","8a","7b",1,"BA6","BA6",2022,20220529,72319,0.320015224561636,0.0336260542828542,0.105076420438796,"bbf"
"8g-1","8a","7b",1,"BA6","BA6",2022,20220624,76140,0.255336169977771,0.0298272209522834,0.116815494470995,"bbf"
"14g-2","8a","7b",2,"PAL","PAL",2022,20220412,74140,0.245849806217752,0.0293232774279098,0.119273136225041,"bbf"
"14g-2","8a","7b",2,"PAL","PAL",2022,20220517,75998,0.498209795952408,0.0462772566131887,0.0928870869042675,"bbf"
"14g-2","8a","7b",2,"PAL","PAL",2022,20220529,72319,0.493885167054854,0.0490989699175283,0.0994137366188101,"bbf"
"14g-2","8a","7b",2,"PAL","PAL",2022,20220624,76139,0.429226404100355,0.0490269632311693,0.114221685252398,"bbf"
"1g-3","7a","7b",3,"FEK","FEK",2022,20220412,74139,0.222943744276808,0.0287735974700502,0.129062143292636,"bbf"
"1g-3","7a","7b",3,"FEK","FEK",2022,20220517,75999,0.400947297314211,0.0395918076785325,0.0987456654371847,"bbf"
"1g-3","7a","7b",3,"FEK","FEK",2022,20220529,72318,0.387113655737336,0.0416932279880273,0.10770280864573,"bbf"
"1g-3","7a","7b",3,"FEK","FEK",2022,20220624,76139,0.295852779656921,0.0431833786556023,0.145962389488714,"bbf"
"12f-11","6a","6b",11,"REF_1","REF_1",2022,20220412,74140,0.206611910795716,0.0339470771180752,0.164303582437896,"control"
"12f-11","6a","6b",11,"REF_1","REF_1",2022,20220517,75996,0.315462018402737,0.0410358967276004,0.130081893647214,"control"
"12f-11","6a","6b",11,"REF_1","REF_1",2022,20220529,72317,0.300713918533511,0.0340319866259509,0.113170640028617,"control"
"12f-11","6a","6b",11,"REF_1","REF_1",2022,20220624,76143,0.265503320800172,0.0342589260280411,0.129033889010472,"control"
"6f-9","5a","6b",9,"BVC","BVC",2022,20220412,74141,0.258087588076332,0.0331815884761387,0.128567160952835,"bbf"
"6f-9","5a","6b",9,"BVC","BVC",2022,20220517,75995,0.341047033144421,0.036265614649675,0.106336109466514,"bbf"
"6f-9","5a","6b",9,"BVC","BVC",2022,20220529,72317,0.295076131003471,0.0335097165347128,0.113562952112581,"bbf"
"6f-9","5a","6b",9,"BVC","BVC",2022,20220624,76138,0.241008205769831,0.0266661582694661,0.110644192318219,"bbf"
"11f-2","6a","6b",2,"PAL","PAL",2022,20220412,74138,0.204827746314188,0.0357752137135651,0.174659997765581,"bbf"
"11f-2","6a","6b",2,"PAL","PAL",2022,20220517,75993,0.438225115162484,0.0657623439731939,0.150065210089136,"bbf"
"11f-2","6a","6b",2,"PAL","PAL",2022,20220529,72320,0.447224314271398,0.0553651782550708,0.123797335002391,"bbf"
"11f-2","6a","6b",2,"PAL","PAL",2022,20220624,76140,0.404781131029309,0.0487966278332688,0.120550648468186,"bbf"
"13f-1","6a","6b",1,"BA6","BA6",2022,20220412,74141,0.233216009285318,0.0277768502696006,0.119103531334413,"bbf"
"13f-1","6a","6b",1,"BA6","BA6",2022,20220517,76000,0.393739257365073,0.0390412895326237,0.0991551865919857,"bbf"
"13f-1","6a","6b",1,"BA6","BA6",2022,20220529,72319,0.392180803884487,0.0387301051904534,0.0987557392071157,"bbf"
"13f-1","6a","6b",1,"BA6","BA6",2022,20220624,76139,0.35989967083933,0.0415297338269648,0.115392530729779,"bbf"
"1f-3","5a","6b",3,"FEK","FEK",2022,20220412,74141,0.228138766768448,0.0297998350162539,0.13062153108989,"bbf"
"1f-3","5a","6b",3,"FEK","FEK",2022,20220517,75999,0.419827349273485,0.0457581679847091,0.108992823035217,"bbf"
"1f-3","5a","6b",3,"FEK","FEK",2022,20220529,72315,0.401088179454742,0.0467336783002819,0.116517216647506,"bbf"
"1f-3","5a","6b",3,"FEK","FEK",2022,20220624,76141,0.298091988734286,0.0378309709622005,0.126910391395732,"bbf"
"10f-8","6a","6b",8,"SDG","SDG",2022,20220412,74142,0.213119320425008,0.0299893168631847,0.140716087135503,"bbf"
"10f-8","6a","6b",8,"SDG","SDG",2022,20220517,75999,0.502387581125658,0.0502588763393045,0.100040045231002,"bbf"
"10f-8","6a","6b",8,"SDG","SDG",2022,20220529,72318,0.485058605872034,0.0541785503219498,0.11169485432497,"bbf"
"10f-8","6a","6b",8,"SDG","SDG",2022,20220624,76143,0.382179563932655,0.051173477843362,0.133899042944063,"bbf"
"5f-4","5a","6b",4,"MO13","MO13",2022,20220412,74139,0.203577241322017,0.0311262314959428,0.152896420512485,"bbf"
"5f-4","5a","6b",4,"MO13","MO13",2022,20220517,76001,0.326859011273256,0.0384249832437516,0.117558280232415,"bbf"
"5f-4","5a","6b",4,"MO13","MO13",2022,20220529,72316,0.285564038320824,0.0318036934309056,0.111371493476272,"bbf"
"5f-4","5a","6b",4,"MO13","MO13",2022,20220624,76143,0.243284135790748,0.0286482595766357,0.117756381785931,"bbf"
"4f-12","5a","6b",12,"REF_2","REF_2",2022,20220412,74141,0.199192117563963,0.0310472335285437,0.155865773747669,"mineral"
"4f-12","5a","6b",12,"REF_2","REF_2",2022,20220517,75999,0.470822385864129,0.0732678819710107,0.155616818933827,"mineral"
"4f-12","5a","6b",12,"REF_2","REF_2",2022,20220529,72320,0.416644414250772,0.0696407381952987,0.167146698271546,"mineral"
"4f-12","5a","6b",12,"REF_2","REF_2",2022,20220624,76139,0.275393602826768,0.0452178817220541,0.16419365322185,"mineral"
"7f-7","5a","6b",7,"BIO","BIO",2022,20220412,74143,0.199057291510249,0.0300030004301469,0.150725452971423,"bbf"
"7f-7","5a","6b",7,"BIO","BIO",2022,20220517,75995,0.339524761196445,0.0439703031136317,0.129505438598014,"bbf"
"7f-7","5a","6b",7,"BIO","BIO",2022,20220529,72319,0.308995453734338,0.040321891292884,0.130493477511003,"bbf"
"7f-7","5a","6b",7,"BIO","BIO",2022,20220624,76139,0.245626976191164,0.0285119032535664,0.116078061521127,"bbf"
"14f-5","6a","6b",5,"ECO","ECO",2022,20220412,74138,0.241955658962645,0.0288746459927841,0.119338585080343,"bbf"
"14f-5","6a","6b",5,"ECO","ECO",2022,20220517,76000,0.41633960014915,0.0464659294018574,0.111605836642038,"bbf"
"14f-5","6a","6b",5,"ECO","ECO",2022,20220529,72318,0.405280317405973,0.0437092143009063,0.107849338898742,"bbf"
"14f-5","6a","6b",5,"ECO","ECO",2022,20220624,76143,0.358311928099571,0.0396040383653164,0.110529500302627,"bbf"
"9f-10","6a","6b",10,"PCW","PCW",2022,20220412,74142,0.195771567919363,0.0286139984828282,0.146160133399014,"bbf"
"9f-10","6a","6b",10,"PCW","PCW",2022,20220517,76000,0.478048039981997,0.0558795073661104,0.116890987291183,"bbf"
"9f-10","6a","6b",10,"PCW","PCW",2022,20220529,72320,0.470619255094995,0.0559428704080866,0.118870764003896,"bbf"
"9f-10","6a","6b",10,"PCW","PCW",2022,20220624,76140,0.363164335865031,0.0603259738084552,0.166112054105652,"bbf"
"2f-13","5a","6b",13,"REF_3","REF_3",2022,20220412,74139,0.216198542232166,0.0312064491001502,0.144341625886816,"mineral"
"2f-13","5a","6b",13,"REF_3","REF_3",2022,20220517,75995,0.508983331716361,0.0692744227669848,0.136103519408744,"mineral"
"2f-13","5a","6b",13,"REF_3","REF_3",2022,20220529,72320,0.50074157599335,0.0630611604788322,0.125935539412189,"mineral"
"2f-13","5a","6b",13,"REF_3","REF_3",2022,20220624,76137,0.359083456974205,0.0553890033589405,0.154251058585858,"mineral"
"8f-6","6a","6b",6,"OG2","OG2",2022,20220412,74139,0.209084509261884,0.0304111114976457,0.145448898175211,"bbf"
"8f-6","6a","6b",6,"OG2","OG2",2022,20220517,75996,0.327734483257026,0.0370900226741683,0.113170949561265,"bbf"
"8f-6","6a","6b",6,"OG2","OG2",2022,20220529,72317,0.292379547994107,0.0347936249863054,0.119001569107723,"bbf"
"8f-6","6a","6b",6,"OG2","OG2",2022,20220624,76137,0.263571420292904,0.0331321740157618,0.125704729211317,"bbf"
"3f-14","5a","6b",14,"REF_4","REF_4",2022,20220412,74140,0.205637766185787,0.0315057487113988,0.15320993461354,"mineral"
"3f-14","5a","6b",14,"REF_4","REF_4",2022,20220517,75995,0.498701677085561,0.0712690995974696,0.142909283991123,"mineral"
"3f-14","5a","6b",14,"REF_4","REF_4",2022,20220529,72318,0.506027503912848,0.060161884972133,0.11889054351183,"mineral"
"3f-14","5a","6b",14,"REF_4","REF_4",2022,20220624,76139,0.402398761943634,0.0490700034999932,0.121943723839952,"mineral"
"7e-11","5a","5b",11,"REF_1","REF_1",2022,20220412,74139,0.206878628692859,0.0301569109720097,0.145771030881986,"control"
"7e-11","5a","5b",11,"REF_1","REF_1",2022,20220517,75996,0.261501598424193,0.029227322558923,0.111767280716625,"control"
"7e-11","5a","5b",11,"REF_1","REF_1",2022,20220529,72321,0.219270959154365,0.0286616729743604,0.130713492953633,"control"
"7e-11","5a","5b",11,"REF_1","REF_1",2022,20220624,76138,0.183604419198437,0.0202594642352234,0.110343009845135,"control"
"9e-7","6a","5b",7,"BIO","BIO",2022,20220412,74143,0.228253783360824,0.0287340381667021,0.125886360977769,"bbf"
"9e-7","6a","5b",7,"BIO","BIO",2022,20220517,75997,0.363150636817494,0.0370962310901754,0.102151083680513,"bbf"
"9e-7","6a","5b",7,"BIO","BIO",2022,20220529,72317,0.318222785067492,0.0356629063562409,0.112068990750229,"bbf"
"9e-7","6a","5b",7,"BIO","BIO",2022,20220624,76138,0.250166709288642,0.0282693714717207,0.113002131866809,"bbf"
"13e-4","6a","5b",4,"MO13","MO13",2022,20220412,74139,0.248441066084579,0.0316433003649397,0.127367431091956,"bbf"
"13e-4","6a","5b",4,"MO13","MO13",2022,20220517,75997,0.417859645425557,0.0451146107860624,0.107965943301648,"bbf"
"13e-4","6a","5b",4,"MO13","MO13",2022,20220529,72318,0.390929858166949,0.046173984257295,0.118113219782706,"bbf"
"13e-4","6a","5b",4,"MO13","MO13",2022,20220624,76139,0.390569919401896,0.0426638306368355,0.109234809229982,"bbf"
"10e-13","6a","5b",13,"REF_3","REF_3",2022,20220412,74139,0.226456167142524,0.0305508835610342,0.134908595983639,"mineral"
"10e-13","6a","5b",13,"REF_3","REF_3",2022,20220517,75999,0.504791283261144,0.0615309011976954,0.121893747451783,"mineral"
"10e-13","6a","5b",13,"REF_3","REF_3",2022,20220529,72317,0.493066714992779,0.058698530782866,0.119047846869415,"mineral"
"10e-13","6a","5b",13,"REF_3","REF_3",2022,20220624,76140,0.354308441122209,0.0488971966724799,0.138007427984517,"mineral"
"4e-2","5a","5b",2,"PAL","PAL",2022,20220412,74141,0.21544211449742,0.0296076041200408,0.137427188686432,"bbf"
"4e-2","5a","5b",2,"PAL","PAL",2022,20220517,75999,0.384420187422334,0.0412697960055891,0.107355954124878,"bbf"
"4e-2","5a","5b",2,"PAL","PAL",2022,20220529,72316,0.376565897171823,0.0413521045583121,0.109813726810858,"bbf"
"4e-2","5a","5b",2,"PAL","PAL",2022,20220624,76141,0.310902092674668,0.0360106971598516,0.115826486885483,"bbf"
"12e-3","6a","5b",3,"FEK","FEK",2022,20220412,74143,0.247777566458147,0.0280499027503093,0.113205982088162,"bbf"
"12e-3","6a","5b",3,"FEK","FEK",2022,20220517,75996,0.433879881107637,0.0412543873308823,0.0950825081484889,"bbf"
"12e-3","6a","5b",3,"FEK","FEK",2022,20220529,72320,0.445070674062286,0.0447221055118757,0.100483154964321,"bbf"
"12e-3","6a","5b",3,"FEK","FEK",2022,20220624,76141,0.388435804455898,0.0515001127583403,0.132583330804119,"bbf"
"14e-12","6a","5b",12,"REF_2","REF_2",2022,20220412,74139,0.240096031727987,0.0311247370250254,0.129634533319933,"mineral"
"14e-12","6a","5b",12,"REF_2","REF_2",2022,20220517,75997,0.5370985945333,0.0709997962622965,0.132191364834961,"mineral"
"14e-12","6a","5b",12,"REF_2","REF_2",2022,20220529,72321,0.490351236369001,0.0772621005395087,0.157564812340694,"mineral"
"14e-12","6a","5b",12,"REF_2","REF_2",2022,20220624,76137,0.35848241784774,0.054282949493803,0.151424300861692,"mineral"
"2e-5","5a","5b",5,"ECO","ECO",2022,20220412,74141,0.227603727911424,0.0320156528852028,0.140664009236537,"bbf"
"2e-5","5a","5b",5,"ECO","ECO",2022,20220517,75994,0.33490101867669,0.0440191901969323,0.131439403710587,"bbf"
"2e-5","5a","5b",5,"ECO","ECO",2022,20220529,72316,0.291119597380361,0.0376312829379613,0.129263997603,"bbf"
"2e-5","5a","5b",5,"ECO","ECO",2022,20220624,76136,0.238488109212506,0.0277016619861214,0.116155317250797,"bbf"
"11e-9","6a","5b",9,"BVC","BVC",2022,20220412,74143,0.279053089780045,0.0291001039969745,0.104281604693615,"bbf"
"11e-9","6a","5b",9,"BVC","BVC",2022,20220517,75997,0.37178280377836,0.037131964027615,0.0998754209453738,"bbf"
"11e-9","6a","5b",9,"BVC","BVC",2022,20220529,72317,0.313799172441623,0.0369942079851842,0.117891349736005,"bbf"
"11e-9","6a","5b",9,"BVC","BVC",2022,20220624,76139,0.259225138017705,0.0274724516199294,0.105979118499121,"bbf"
"6e-1","5a","5b",1,"BA6","BA6",2022,20220412,74143,0.226217365406442,0.0303988214567486,0.134378814827639,"bbf"
"6e-1","5a","5b",1,"BA6","BA6",2022,20220517,75995,0.322664080974624,0.0377611211461618,0.117029205829488,"bbf"
"6e-1","5a","5b",1,"BA6","BA6",2022,20220529,72319,0.29227986141299,0.0335223647289594,0.114692694073754,"bbf"
"6e-1","5a","5b",1,"BA6","BA6",2022,20220624,76138,0.240231844648649,0.0306051270592729,0.127398293527798,"bbf"
"1e-10","5a","5b",10,"PCW","PCW",2022,20220412,74140,0.229418457337005,0.0369059423764047,0.160867363527737,"bbf"
"1e-10","5a","5b",10,"PCW","PCW",2022,20220517,75998,0.571671250564961,0.0433976885344083,0.075913715254213,"bbf"
"1e-10","5a","5b",10,"PCW","PCW",2022,20220529,72319,0.557913091180352,0.0505676999463902,0.090637234984765,"bbf"
"1e-10","5a","5b",10,"PCW","PCW",2022,20220624,76139,0.4315526603147,0.0627604821737026,0.145429487395434,"bbf"
"3e-8","5a","5b",8,"SDG","SDG",2022,20220412,74141,0.231846661970102,0.031961645383237,0.137856827920855,"bbf"
"3e-8","5a","5b",8,"SDG","SDG",2022,20220517,75997,0.500350824424759,0.048128374978859,0.0961892588748924,"bbf"
