"PLOT_ID","Block_a","Block_b","Treatment_ID","Treatment_2021","Treatment_2022","year_estab","date","count","mean","std","cv","fertiliser_type"
"7g-6","7a","7b",6,"OG2","OG2",2022,20220529,72318,0.642598566522462,0.0635809868428869,0.0989435553629802,"bbf"
"7g-6","7a","7b",6,"OG2","OG2",2022,20220624,76137,0.556183642419098,0.0640878264457046,0.115227816062618,"bbf"
"5g-10","7a","7b",10,"PCW","PCW",2022,20220412,74142,0.413600110473442,0.0856287837909208,0.207032787522476,"bbf"
"5g-10","7a","7b",10,"PCW","PCW",2022,20220517,76002,0.787482540960475,0.0716113745952195,0.090937094945466,"bbf"
"5g-10","7a","7b",10,"PCW","PCW",2022,20220529,72318,0.799552182333851,0.0630876837033562,0.078903772758404,"bbf"
"5g-10","7a","7b",10,"PCW","PCW",2022,20220624,76140,0.640110328990407,0.0820727728607763,0.128216604456646,"bbf"
"11g-13","8a","7b",13,"REF_3","REF_3",2022,20220412,74141,0.423750062132237,0.111130769279934,0.262255464272367,"mineral"
"11g-13","8a","7b",13,"REF_3","REF_3",2022,20220517,75998,0.815007524555108,0.0878914783082811,0.107841309018906,"mineral"
"11g-13","8a","7b",13,"REF_3","REF_3",2022,20220529,72317,0.836773251868033,0.0672820366999288,0.0804065337290918,"mineral"
"11g-13","8a","7b",13,"REF_3","REF_3",2022,20220624,76140,0.714882519897949,0.0748752077474245,0.104737779513917,"mineral"
"4g-8","7a","7b",8,"SDG","SDG",2022,20220412,74141,0.419640153657925,0.0884642495949635,0.210809782676508,"bbf"
"4g-8","7a","7b",8,"SDG","SDG",2022,20220517,75998,0.778945728902356,0.0790663707095971,0.101504338204682,"bbf"
"4g-8","7a","7b",8,"SDG","SDG",2022,20220529,72320,0.78538107812009,0.0750645826286332,0.0955772741664593,"bbf"
"4g-8","7a","7b",8,"SDG","SDG",2022,20220624,76141,0.629483043073855,0.0860168802157438,0.136646858342222,"bbf"
"6g-11","7a","7b",11,"REF_1","REF_1",2022,20220412,74138,0.433476679592271,0.0919612294301885,0.212148043388833,"control"
"6g-11","7a","7b",11,"REF_1","REF_1",2022,20220517,75999,0.557380304757127,0.0783971850782299,0.140652951690481,"control"
"6g-11","7a","7b",11,"REF_1","REF_1",2022,20220529,72321,0.515278409579952,0.0616844501726223,0.119710915547396,"control"
"6g-11","7a","7b",11,"REF_1","REF_1",2022,20220624,76138,0.394742554031989,0.0589922781296358,0.149444942094728,"control"
"3g-9","7a","7b",9,"BVC","BVC",2022,20220412,74137,0.508390215711863,0.0856711759165491,0.168514604075513,"bbf"
